2025-08-23 12:19:14 | INFO     | TutorialDemo | main:197 | 🚀 日志演示程序启动
2025-08-23 12:19:14 | INFO     | TutorialDemo | main:198 | 📁 日志文件: tutorial_demo_20250823-121914.log
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_log_levels:66 | ==================================================
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_log_levels:67 | 开始演示不同的日志级别
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_log_levels:68 | ==================================================
2025-08-23 12:19:14 | DEBUG    | TutorialDemo | demonstrate_log_levels:71 | 🔍 这是 DEBUG 级别：详细的调试信息，通常用于开发阶段
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_log_levels:74 | ℹ️ 这是 INFO 级别：程序正常运行的信息
2025-08-23 12:19:14 | WARNING  | TutorialDemo | demonstrate_log_levels:77 | ⚠️ 这是 WARNING 级别：可能出现问题的警告
2025-08-23 12:19:14 | ERROR    | TutorialDemo | demonstrate_log_levels:80 | ❌ 这是 ERROR 级别：程序出现错误但仍可继续运行
2025-08-23 12:19:14 | CRITICAL | TutorialDemo | demonstrate_log_levels:83 | 🚨 这是 CRITICAL 级别：严重错误，程序可能无法继续运行
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_practical_examples:90 | ==================================================
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_practical_examples:91 | 演示实际应用场景
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_practical_examples:92 | ==================================================
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_practical_examples:96 | 用户尝试登录: 张三
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_practical_examples:101 | 用户 张三 登录成功
2025-08-23 12:19:14 | DEBUG    | TutorialDemo | demonstrate_practical_examples:106 | 准备连接数据库
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_practical_examples:113 | 数据库连接成功
2025-08-23 12:19:14 | DEBUG    | TutorialDemo | demonstrate_practical_examples:114 | 执行查询：SELECT * FROM users
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_practical_examples:118 | 查询完成，找到 150 个用户
2025-08-23 12:19:14 | DEBUG    | TutorialDemo | demonstrate_practical_examples:127 | 尝试读取文件: important_data.txt
2025-08-23 12:19:14 | WARNING  | TutorialDemo | demonstrate_practical_examples:138 | 文件 important_data.txt 不存在，将创建默认文件
2025-08-23 12:19:14 | INFO     | TutorialDemo | demonstrate_practical_examples:139 | 已创建默认文件: important_data.txt
2025-08-23 12:19:14 | DEBUG    | TutorialDemo | demonstrate_practical_examples:144 | 开始执行耗时操作
2025-08-23 12:19:14 | WARNING  | TutorialDemo | demonstrate_practical_examples:154 | 操作耗时较长: 0.101 秒
2025-08-23 12:19:14 | INFO     | TutorialDemo | main:210 | ✅ 日志演示程序结束
